[15:43:18] CPU: 2.03% | RAM: 28.02% | TEMP: 41.0°C
[15:44:18] CPU: 2.02% | RAM: 28.19% | TEMP: 41.0°C
[15:45:18] CPU: 95.49% | RAM: 54.99% | TEMP: 61.0°C
[15:46:18] CPU: 2.03% | RAM: 53.22% | TEMP: 48.0°C
[15:47:18] CPU: 3.05% | RAM: 53.63% | TEMP: 44.0°C
[15:48:18] CPU: 2.53% | RAM: 53.54% | TEMP: 43.0°C
[15:49:18] CPU: 5.90% | RAM: 53.13% | TEMP: 42.0°C
[15:50:18] CPU: 5.63% | RAM: 51.96% | TEMP: 43.0°C
[15:51:18] CPU: 2.53% | RAM: 37.94% | TEMP: 43.0°C
[15:52:18] CPU: 2.28% | RAM: 37.68% | TEMP: 41.0°C
[15:53:18] CPU: 2.04% | RAM: 37.84% | TEMP: 41.0°C
[15:54:18] CPU: 2.79% | RAM: 37.89% | TEMP: 41.0°C
[15:55:18] CPU: 2.53% | RAM: 37.95% | TEMP: 42.0°C
[15:56:18] CPU: 11.05% | RAM: 38.21% | TEMP: 42.0°C
[15:57:18] CPU: 9.43% | RAM: 37.17% | TEMP: 43.0°C
[15:58:18] CPU: 10.88% | RAM: 36.37% | TEMP: 42.0°C
[15:59:18] CPU: 11.37% | RAM: 35.39% | TEMP: 42.0°C
[16:00:18] CPU: 9.66% | RAM: 35.35% | TEMP: 43.0°C
[16:01:18] CPU: 7.45% | RAM: 35.35% | TEMP: 42.0°C
[16:02:18] CPU: 8.53% | RAM: 35.28% | TEMP: 43.0°C
[16:03:18] CPU: 10.63% | RAM: 35.30% | TEMP: 43.0°C
[16:04:18] CPU: 10.33% | RAM: 35.33% | TEMP: 43.0°C
[16:05:18] CPU: 7.59% | RAM: 35.33% | TEMP: 43.0°C
[16:06:18] CPU: 10.95% | RAM: 35.38% | TEMP: 42.0°C
[16:07:18] CPU: 10.96% | RAM: 35.43% | TEMP: 43.0°C
[16:08:18] CPU: 7.20% | RAM: 35.44% | TEMP: 43.0°C
[16:09:18] CPU: 14.59% | RAM: 35.47% | TEMP: 44.0°C
[16:10:18] CPU: 16.98% | RAM: 35.62% | TEMP: 44.0°C
[16:11:18] CPU: 8.95% | RAM: 35.50% | TEMP: 42.0°C
[16:12:18] CPU: 11.16% | RAM: 35.53% | TEMP: 42.0°C
[16:13:18] CPU: 10.67% | RAM: 35.64% | TEMP: 43.0°C
[16:14:18] CPU: 7.44% | RAM: 35.57% | TEMP: 42.0°C
[16:15:18] CPU: 8.55% | RAM: 35.81% | TEMP: 43.0°C
[16:16:18] CPU: 2.02% | RAM: 35.83% | TEMP: 42.0°C
[16:17:18] CPU: 2.54% | RAM: 35.99% | TEMP: 42.0°C
[16:18:18] CPU: 2.51% | RAM: 35.84% | TEMP: 42.0°C
[16:19:18] CPU: 2.78% | RAM: 35.93% | TEMP: 41.0°C
[16:20:18] CPU: 2.28% | RAM: 35.76% | TEMP: 41.0°C
[16:21:18] CPU: 2.76% | RAM: 35.86% | TEMP: 41.0°C
[16:22:18] CPU: 2.77% | RAM: 35.53% | TEMP: 41.0°C
[16:23:18] CPU: 2.77% | RAM: 35.62% | TEMP: 41.0°C
[16:24:18] CPU: 3.24% | RAM: 35.54% | TEMP: 41.0°C
[16:25:18] CPU: 2.53% | RAM: 35.59% | TEMP: 41.0°C
[16:26:18] CPU: 1.52% | RAM: 35.61% | TEMP: 41.0°C
[16:27:18] CPU: 2.28% | RAM: 35.52% | TEMP: 41.0°C
[16:28:18] CPU: 5.30% | RAM: 35.46% | TEMP: 40.0°C
[16:29:18] CPU: 4.85% | RAM: 35.42% | TEMP: 41.0°C
[16:30:18] CPU: 3.02% | RAM: 35.34% | TEMP: 41.0°C
[16:31:18] CPU: 2.77% | RAM: 35.61% | TEMP: 42.0°C
[16:32:18] CPU: 2.78% | RAM: 35.48% | TEMP: 41.0°C
[16:33:18] CPU: 2.28% | RAM: 35.37% | TEMP: 41.0°C
[16:34:18] CPU: 2.78% | RAM: 35.31% | TEMP: 41.0°C
[16:35:18] CPU: 2.51% | RAM: 35.29% | TEMP: 41.0°C
[16:36:18] CPU: 2.77% | RAM: 35.23% | TEMP: 41.0°C
[16:37:18] CPU: 2.53% | RAM: 35.09% | TEMP: 41.0°C
[16:38:18] CPU: 2.28% | RAM: 35.29% | TEMP: 41.0°C
[16:39:18] CPU: 2.78% | RAM: 35.55% | TEMP: 41.0°C
[16:40:18] CPU: 4.08% | RAM: 35.46% | TEMP: 41.0°C
[16:41:18] CPU: 5.09% | RAM: 35.34% | TEMP: 41.0°C
[16:42:18] CPU: 5.66% | RAM: 35.26% | TEMP: 41.0°C
[16:43:18] CPU: 4.59% | RAM: 35.21% | TEMP: 41.0°C
[16:44:18] CPU: 5.58% | RAM: 35.04% | TEMP: 41.0°C
[16:45:18] CPU: 5.30% | RAM: 34.92% | TEMP: 43.0°C
[16:46:18] CPU: 2.03% | RAM: 35.09% | TEMP: 41.0°C
[16:47:18] CPU: 2.32% | RAM: 35.12% | TEMP: 42.0°C
[16:48:18] CPU: 5.66% | RAM: 35.14% | TEMP: 41.0°C
[16:49:18] CPU: 5.14% | RAM: 35.18% | TEMP: 42.0°C
[16:50:18] CPU: 2.78% | RAM: 35.07% | TEMP: 41.0°C
[16:51:18] CPU: 2.78% | RAM: 35.11% | TEMP: 43.0°C
[16:52:18] CPU: 2.02% | RAM: 34.89% | TEMP: 41.0°C
[16:53:18] CPU: 2.31% | RAM: 35.07% | TEMP: 41.0°C
[16:54:18] CPU: 3.27% | RAM: 35.01% | TEMP: 42.0°C
[16:55:18] CPU: 2.77% | RAM: 35.03% | TEMP: 42.0°C
[16:56:18] CPU: 3.01% | RAM: 35.20% | TEMP: 41.0°C
[16:57:18] CPU: 2.78% | RAM: 35.14% | TEMP: 43.0°C
[16:58:18] CPU: 3.52% | RAM: 35.02% | TEMP: 42.0°C
[16:59:18] CPU: 2.53% | RAM: 35.17% | TEMP: 42.0°C
[17:00:18] CPU: 3.04% | RAM: 35.59% | TEMP: 41.0°C
[17:01:18] CPU: 2.76% | RAM: 35.22% | TEMP: 41.0°C
[17:02:18] CPU: 2.28% | RAM: 35.19% | TEMP: 41.0°C
[17:03:18] CPU: 2.52% | RAM: 35.05% | TEMP: 42.0°C
[17:04:18] CPU: 3.27% | RAM: 35.16% | TEMP: 41.0°C
[17:05:18] CPU: 3.27% | RAM: 35.13% | TEMP: 41.0°C
[17:06:18] CPU: 2.53% | RAM: 35.10% | TEMP: 41.0°C
